DVLD11KT1ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9703;0591;0021;0102;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD12KT2ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;0983;0591;0021;0102;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD1KT1ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9703;0591;0021;0102;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD1KT2ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;0983;0591;0021;0102;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD202F0ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9717;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD202F4ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9717;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD203F4ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9704;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD204F4ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9705;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD205F4ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;9706;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
DVLD206F4ET_VA;0107;N;0360;1;0;5.00;0361;1;0;-5.00;0262;0;0;0259;0;0;0260;0;0;0261;0;0;0263;0;0;12; ;2769;0591;0021;0103;0.00;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0
