DVLD1T71_ED;0114;0204;0;0;0300;1;0;1;00; ;9703;0582;0021;0103;0;DIVINOPOLIS_2;0223;1;0;1;0;0;0;0
DVLD1T86CC_ED;0245;0204;0;0;0264;1;0;1;00; ;9703;0582;0021;0103;0;DIVINOPOLIS_2;0222;1;0;1;0;15;0;0
DVLD1T86_ED;0164;0204;0;0;0207;1;0;1;00; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0221;1;0;1;0;0;0;0
DVLD1T8751AT_ED;0428;0204;0;0;0207;1;0;1;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0250;1;0;1;0;0;0;0
DVLD1T8751BT_ED;0428;0204;0;0;0207;1;0;1;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0251;1;0;1;0;0;0;0
DVLD1T87AZ_ED;0178;0204;0;0;0207;1;0;1;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0253;1;0;1;0;0;0;0
DVLD1T87BR_ED;0178;0204;0;0;0207;1;0;1;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0254;1;0;1;0;0;0;0
DVLD1T87FI_ED;0825;0207;1;0;0204;0;0;1;00; ;9703;0582;0021;0103;0;DIVINOPOLIS_2;0248;1;0;1;0;0;0;0
DVLD1T87VM_ED;0178;0204;0;0;0207;1;0;1;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0252;1;0;1;0;0;0;0
DVLD1T90_ED;0134;0318;1;0;0317;1;0;0;15; ;9703;0582;0021;0102;0;DIVINOPOLIS_2;0263;1;0;1;0;0;0;0
DVLD1TAD_ED;0108;0390;1;0;0389;1;0;0;15; ;9703;0582;0021;0101;0;DIVINOPOLIS_2;0268;1;0;1;0;0;0;0
DVLD1TDISC_ED;0139;0204;0;0;0207;1;0;1;10; ;9703;0582;0021;0103;0;DIVINOPOLIS_2;0264;1;0;1;0;0;0;0
DVLD1TVF1_ED;0355;0237;0;0;0236;1;0;1;15; ;9703;0582;0021;0101;0;DIVINOPOLIS_2;0246;1;0;1;0;0;0;0
DVLD1TVF2_ED;0356;0237;0;0;0236;1;0;1;15; ;9703;0582;0021;0101;0;DIVINOPOLIS_2;0247;1;0;1;0;0;0;0
DVLD1TVFD_ED;0116;0204;0;0;0224;1;0;1;10; ;9703;0582;0021;0103;0;DIVINOPOLIS_2;0245;1;0;1;0;15;0;0
DVLD202F027CC_ED;0424;0204;0;0;0264;1;0;1;10; ;9717;0582;0021;0103;0;DIVINOPOLIS_2;0335;1;0;1;0;15;0;0
DVLD202F043SC_ED;0225;0222;1;0;0223;1;0;0;15; ;9717;0583;0021;0101;0;DIVINOPOLIS_2;0334;1;1;1;0;0;0;0
DVLD202F0A_ED;0102;0250;0;0;0202;0;0;0;15; ;9717;0582;0021;0101;0;DIVINOPOLIS_2;0333;1;1;1;0;0;0;0
DVLD202F0F_ED;0102;0250;0;0;0203;0;0;0;15; ;9717;0582;0021;0101;0;DIVINOPOLIS_2;0332;1;1;1;0;0;0;0
DVLD202F0MCC_ED;0425;0204;0;0;0264;1;0;1;00; ;9717;0582;0021;0103;0;DIVINOPOLIS_2;0336;1;0;1;0;15;0;0
DVLD202F43R_ED;0163;0213;0;0;0214;1;0;1;15; ;9717;0583;0021;0101;0;DIVINOPOLIS_2;0282;1;0;1;0;0;0;0
DVLD202F43SC_ED;0225;0222;1;0;0223;1;0;0;15; ;9717;0583;0021;0101;0;DIVINOPOLIS_2;0292;1;1;1;0;0;0;0
DVLD202F4BAT_ED;1952;0204;0;0;0206;1;0;1;00; ;9717;0583;0021;0103;0;DIVINOPOLIS_2;0291;1;0;1;0;60;0;0
DVLD202F4COM_ED;0847;0204;0;0;0232;1;0;1;00; ;9717;0583;0021;0103;0;DIVINOPOLIS_2;0297;1;0;1;0;15;0;0
DVLD202F4FALH_ED;0101;0204;0;0;0232;1;0;1;10; ;9717;0583;0021;0103;0;DIVINOPOLIS_2;0281;1;0;1;0;0;0;0
DVLD202F4RA_ED;0101;0250;0;0;0202;1;0;1;00; ;9717;0583;0021;0101;0;DIVINOPOLIS_2;0280;1;1;1;0;0;0;0
