DVLD203F4CONT_EA;0877;EN;0360;1;0;32000.00;0361;1;0;-32000.00;0204;0;0;0204;0;0;0204;0;0;0204;0;0;0204;0;0;12; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0057;1;0.00;000;-32000;32000;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIAZFA_EA;2605;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0051;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIAZ_EA;0249;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0045;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIBRFA_EA;2606;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0052;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIBR_EA;0250;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0046;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FINFAL_EA;2607;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0053;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIN_EA;0263;A;0360;1;0;360.00;0361;1;0;-360.00;0204;0;0;0204;0;0;0204;0;0;0204;0;0;0204;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0054;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIVMFA_EA;2604;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0050;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD203FIVM_EA;0248;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9704;0583;0021;0101;0.00;DIVINOPOLIS_2;0044;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204F4CONT_EA;0877;EN;0360;1;0;32000.00;0361;1;0;-32000.00;0204;0;0;0204;0;0;0204;0;0;0204;0;0;0204;0;0;12; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0071;1;0.00;000;-32000;32000;0;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIAZFA_EA;2605;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0065;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIAZ_EA;0249;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0059;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIBRFA_EA;2606;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0066;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIBR_EA;0250;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0060;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FINFAL_EA;2607;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0067;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIN_EA;0263;A;0360;1;0;360.00;0361;1;0;-360.00;0204;0;0;0204;0;0;0204;0;0;0204;0;0;0204;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0068;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIVMFA_EA;2604;A;0360;1;0;4000.00;0361;1;0;-4000.00;0296;0;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0064;1;0.00;000;-4000;4000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
DVLD204FIVM_EA;0248;A;0360;1;0;600.00;0361;1;0;-600.00;0296;1;0;0205;0;0;0204;0;0;0229;0;0;0230;0;0;10; ;9705;0583;0021;0101;0.00;DIVINOPOLIS_2;0058;1;0.00;000;-6000;6000;60;0;0;0;0.00;0;0;0.00;0;0;0;0;0.00;0;0;0.00;0;0
